episode,q table
1,"[[-12.438999999999997, 1, 1], [0, 1, 2], [0, 1, 3], [-3.4389999999999987, 1, 4], [-12.438999999999997, 2, 1], [0, 2, 2], [-0.9999999999999999, 2, 3], [-2.709999999999999, 2, 4], [16.999999999999993, 3, 1], [0, 3, 2], [-1.8999999999999997, 3, 3], [-1.8999999999999997, 3, 4], [-10.728999879334097, 4, 1], [0, 4, 2], [-2.709999999999998, 4, 3], [-0.9999999999999999, 4, 4], [62.899999999999956, 5, 1], [0, 5, 2], [-3.438999941557988, 5, 3], [0, 5, 4], [-2.7099999999999973, 6, 1], [-0.9999999999999999, 6, 2], [0, 6, 3], [-12.438999999999998, 6, 4], [-2.709999999999998, 7, 1], [-0.9999999999999999, 7, 2], [-9.999999999999998, 7, 3], [-2.7099999999999995, 7, 4], [19.999999999999996, 8, 1], [-0.9999999999999999, 8, 2], [-18.999999999999996, 8, 3], [-1.8999999999999997, 8, 4], [-10.809999925045762, 9, 1], [-0.9999999999999999, 9, 2], [-18.099999999999994, 9, 3], [-0.9999999999999999, 9, 4], [70.99999999999996, 10, 1], [-0.9999999999999886, 10, 2], [-17.289999999999242, 10, 3], [0, 10, 4], [-1.8999999999999995, 11, 1], [-10.899999999999999, 11, 2], [0, 11, 3], [16.999999999999993, 11, 4], [-1.899999999999999, 12, 1], [-10.899999999999999, 12, 2], [-0.9999999999999999, 12, 3], [19.999999999999996, 12, 4], [0, 13, 1], [0, 13, 2], [0, 13, 3], [0, 13, 4], [-10.899999956789381, 14, 1], [-1.8999999999999775, 14, 2], [19.999999999999947, 14, 3], [-0.9999999999999944, 14, 4], [79.99999999999997, 15, 1], [-1.899999999994628, 15, 2], [16.999999998233598, 15, 3], [0, 15, 4], [-0.9999999999999999, 16, 1], [-10.809999999994481, 16, 2], [0, 16, 3], [-17.28999999976714, 16, 4], [-0.9999999999999998, 17, 1], [-10.809999999999985, 17, 2], [-0.9999999999999999, 17, 3], [-18.099999999917813, 17, 4], [-0.9999999999994209, 18, 1], [19.999999999996025, 18, 2], [-1.8999999999988233, 18, 3], [-18.999999999971806, 18, 4], [-0.9999999938312649, 19, 1], [-2.709999999970023, 19, 2], [-2.7099999989417363, 19, 3], [-9.999999999991726, 19, 4], [99.99999999999999, 20, 1], [-2.709999930160884, 20, 2], [-12.438999669071094, 20, 3], [0, 20, 4], [0, 21, 1], [-10.728999459069806, 21, 2], [0, 21, 3], [70.18999999994487, 21, 4], [0, 22, 1], [-10.728999999993603, 22, 2], [-0.9999999999929684, 22, 3], [79.09999999997157, 22, 4], [0, 23, 1], [16.999999888778433, 23, 2], [-1.8999999968558519, 23, 3], [88.99999999999501, 23, 4], [0, 24, 1], [-12.438996778435476, 24, 2], [-2.7099898277251384, 24, 3], [99.99999999999962, 24, 4], [0, 25, 1], [0, 25, 2], [0, 25, 3], [0, 25, 4]]"
5000,"[[-12.438999999999997, 1, 1], [0, 1, 2], [0, 1, 3], [-3.4389999999999987, 1, 4], [-12.438999999999997, 2, 1], [0, 2, 2], [-0.9999999999999999, 2, 3], [-2.709999999999999, 2, 4], [16.999999999999993, 3, 1], [0, 3, 2], [-1.8999999999999997, 3, 3], [-1.8999999999999997, 3, 4], [-10.728999879334097, 4, 1], [0, 4, 2], [-2.709999999999998, 4, 3], [-0.9999999999999999, 4, 4], [62.899999999999956, 5, 1], [0, 5, 2], [-3.438999941557988, 5, 3], [0, 5, 4], [-2.7099999999999973, 6, 1], [-0.9999999999999999, 6, 2], [0, 6, 3], [-12.438999999999998, 6, 4], [-2.709999999999998, 7, 1], [-0.9999999999999999, 7, 2], [-9.999999999999998, 7, 3], [-2.7099999999999995, 7, 4], [19.999999999999996, 8, 1], [-0.9999999999999999, 8, 2], [-18.999999999999996, 8, 3], [-1.8999999999999997, 8, 4], [-10.809999925045762, 9, 1], [-0.9999999999999999, 9, 2], [-18.099999999999994, 9, 3], [-0.9999999999999999, 9, 4], [70.99999999999996, 10, 1], [-0.9999999999999886, 10, 2], [-17.289999999999242, 10, 3], [0, 10, 4], [-1.8999999999999995, 11, 1], [-10.899999999999999, 11, 2], [0, 11, 3], [16.999999999999993, 11, 4], [-1.899999999999999, 12, 1], [-10.899999999999999, 12, 2], [-0.9999999999999999, 12, 3], [19.999999999999996, 12, 4], [0, 13, 1], [0, 13, 2], [0, 13, 3], [0, 13, 4], [-10.899999956789381, 14, 1], [-1.8999999999999775, 14, 2], [19.999999999999947, 14, 3], [-0.9999999999999944, 14, 4], [79.99999999999997, 15, 1], [-1.899999999994628, 15, 2], [16.999999998233598, 15, 3], [0, 15, 4], [-0.9999999999999999, 16, 1], [-10.809999999994481, 16, 2], [0, 16, 3], [-17.28999999976714, 16, 4], [-0.9999999999999998, 17, 1], [-10.809999999999985, 17, 2], [-0.9999999999999999, 17, 3], [-18.099999999917813, 17, 4], [-0.9999999999994209, 18, 1], [19.999999999996025, 18, 2], [-1.8999999999988233, 18, 3], [-18.999999999971806, 18, 4], [-0.9999999938312649, 19, 1], [-2.709999999970023, 19, 2], [-2.7099999989417363, 19, 3], [-9.999999999991726, 19, 4], [99.99999999999999, 20, 1], [-2.709999930160884, 20, 2], [-12.438999669071094, 20, 3], [0, 20, 4], [0, 21, 1], [-10.728999459069806, 21, 2], [0, 21, 3], [70.18999999994487, 21, 4], [0, 22, 1], [-10.728999999993603, 22, 2], [-0.9999999999929684, 22, 3], [79.09999999997157, 22, 4], [0, 23, 1], [16.999999888778433, 23, 2], [-1.8999999968558519, 23, 3], [88.99999999999501, 23, 4], [0, 24, 1], [-12.438996778435476, 24, 2], [-2.7099898277251384, 24, 3], [99.99999999999962, 24, 4], [0, 25, 1], [0, 25, 2], [0, 25, 3], [0, 25, 4]]"
10000,"[[-12.438999999999997, 1, 1], [0, 1, 2], [0, 1, 3], [-3.4389999999999987, 1, 4], [-12.438999999999997, 2, 1], [0, 2, 2], [-0.9999999999999999, 2, 3], [-2.709999999999999, 2, 4], [16.999999999999993, 3, 1], [0, 3, 2], [-1.8999999999999997, 3, 3], [-1.8999999999999997, 3, 4], [-10.728999879334097, 4, 1], [0, 4, 2], [-2.709999999999998, 4, 3], [-0.9999999999999999, 4, 4], [62.899999999999956, 5, 1], [0, 5, 2], [-3.438999941557988, 5, 3], [0, 5, 4], [-2.7099999999999973, 6, 1], [-0.9999999999999999, 6, 2], [0, 6, 3], [-12.438999999999998, 6, 4], [-2.709999999999998, 7, 1], [-0.9999999999999999, 7, 2], [-9.999999999999998, 7, 3], [-2.7099999999999995, 7, 4], [19.999999999999996, 8, 1], [-0.9999999999999999, 8, 2], [-18.999999999999996, 8, 3], [-1.8999999999999997, 8, 4], [-10.809999925045762, 9, 1], [-0.9999999999999999, 9, 2], [-18.099999999999994, 9, 3], [-0.9999999999999999, 9, 4], [70.99999999999996, 10, 1], [-0.9999999999999886, 10, 2], [-17.289999999999242, 10, 3], [0, 10, 4], [-1.8999999999999995, 11, 1], [-10.899999999999999, 11, 2], [0, 11, 3], [16.999999999999993, 11, 4], [-1.899999999999999, 12, 1], [-10.899999999999999, 12, 2], [-0.9999999999999999, 12, 3], [19.999999999999996, 12, 4], [0, 13, 1], [0, 13, 2], [0, 13, 3], [0, 13, 4], [-10.899999956789381, 14, 1], [-1.8999999999999775, 14, 2], [19.999999999999947, 14, 3], [-0.9999999999999944, 14, 4], [79.99999999999997, 15, 1], [-1.899999999994628, 15, 2], [16.999999998233598, 15, 3], [0, 15, 4], [-0.9999999999999999, 16, 1], [-10.809999999994481, 16, 2], [0, 16, 3], [-17.28999999976714, 16, 4], [-0.9999999999999998, 17, 1], [-10.809999999999985, 17, 2], [-0.9999999999999999, 17, 3], [-18.099999999917813, 17, 4], [-0.9999999999994209, 18, 1], [19.999999999996025, 18, 2], [-1.8999999999988233, 18, 3], [-18.999999999971806, 18, 4], [-0.9999999938312649, 19, 1], [-2.709999999970023, 19, 2], [-2.7099999989417363, 19, 3], [-9.999999999991726, 19, 4], [99.99999999999999, 20, 1], [-2.709999930160884, 20, 2], [-12.438999669071094, 20, 3], [0, 20, 4], [0, 21, 1], [-10.728999459069806, 21, 2], [0, 21, 3], [70.18999999994487, 21, 4], [0, 22, 1], [-10.728999999993603, 22, 2], [-0.9999999999929684, 22, 3], [79.09999999997157, 22, 4], [0, 23, 1], [16.999999888778433, 23, 2], [-1.8999999968558519, 23, 3], [88.99999999999501, 23, 4], [0, 24, 1], [-12.438996778435476, 24, 2], [-2.7099898277251384, 24, 3], [99.99999999999962, 24, 4], [0, 25, 1], [0, 25, 2], [0, 25, 3], [0, 25, 4]]"
